what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1388809360816
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1388809360832
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1388809360832
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1388809360832
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1388809360832
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1388809360832
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1388809360832
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1388809360832
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1388809360832
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1388809360832
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1388809360832
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1388809360832
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1388809360832
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1388809360832
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1388809360832
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1388809360832
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1388809360832
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1388809360832
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1388809360832
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1388809360832
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1388809360832
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1388809360832
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1388809360832
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1388809360847
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1388809360847
started,bundle,org.tigris.subversion.clientadapter,1.6.10,"org.tigris.subversion.clientadapter",1388809360847
started,bundle,org.tigris.subversion.subclipse.core,1.6.10,"org.tigris.subversion.subclipse.core",1388809360847
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1388809360847
os,sysinfo,,,"win32",1388809360847
arch,sysinfo,,,"x86",1388809360847
ws,sysinfo,,,"win32",1388809360847
locale,sysinfo,,,"zh_CN",1388809360847
processors,sysinfo,,,"8",1388809360847
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1388809360847
java.runtime.version,sysinfo,,,"1.7.0_21-b11",1388809360847
java.specification.name,sysinfo,,,"Java Platform API Specification",1388809360847
java.specification.vendor,sysinfo,,,"Oracle Corporation",1388809360847
java.specification.version,sysinfo,,,"1.7",1388809360847
java.vendor,sysinfo,,,"Oracle Corporation",1388809360847
java.version,sysinfo,,,"1.7.0_21",1388809360847
java.vm.info,sysinfo,,,"mixed mode, sharing",1388809360847
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1388809360847
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1388809360847
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1388809360847
java.vm.specification.version,sysinfo,,,"1.7",1388809360847
java.vm.vendor,sysinfo,,,"Oracle Corporation",1388809360847
java.vm.version,sysinfo,,,"23.21-b01",1388809360847
started,bundle,com.collabnet.subversion.merge,2.0.1,"com.collabnet.subversion.merge",1388809372610
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1388809372641
started,bundle,org.tigris.subversion.subclipse.ui,1.6.10,"org.tigris.subversion.subclipse.ui",1388809372641
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1388809372797
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1388809373000
opened,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1388809373109
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1388809373171
opened,view,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.views.AntView",1388809373218
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1388809373234
started,bundle,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms",1388809373889
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1388809373983
started,bundle,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.adt",1388809373983
started,bundle,com.android.ide.eclipse.traceview,10.0.1.v201103111512-110841,"com.android.ide.eclipse.traceview",1388809373998
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1388809379006
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1388809397273
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1388809397320
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1388809397351
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1388809397351
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1388809398506
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1388809398506
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388809400581
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388809719226
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1388809719444
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1388809719475
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388809724873
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388809961915
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388810030118
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388810099882
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388810408657
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388811209728
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1388811220367
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388811226015
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388811230258
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1388811230258
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1388811230320
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1388811230351
